skill,path,category,priority,purpose,flow_use_case,expected_frequency,context_token_cost,overlap,security_risk,signals,recommendation,bytes
uniprot-skill,uniprot-skill,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Submit compact UniProt REST API requests for UniProtKB, UniRef, UniParc, and FASTA stream endpoints. Use when a user wants concise UniProt summaries; save raw JSON or FASTA only on request.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,LOW-MEDIUM,shell/package execution,Keep on-demand for infra/deploy,2733
unit-economics,unit-economics,H - IRRELEVANT TO FLOW,P4,Bottoms-up unit economics decomposition for any public company,No clear current Flow use case found.,Unlikely,High,None obvious,LOW-MEDIUM,broad external access,Candidate to disable after approval; review before use with credentials or shell access,13384
zoom-video-sdk-unity,unity,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/domain work, not core Flow foundation.",Rare until integration exists,Low,None obvious,LOW,No notable risky pattern in sampled scan,Park for future integrations,1240
zoom-meeting-sdk-unreal,unreal,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/domain work, not core Flow foundation.",Rare until integration exists,Low,None obvious,LOW,No notable risky pattern in sampled scan,Park for future integrations,1296
upgrade-stripe,upgrade-stripe,E - INFRASTRUCTURE / DEPLOYMENT,P2,Guide for upgrading Stripe API versions and SDKs,"Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,LOW-MEDIUM,shell/package execution; global/local config,Keep on-demand for infra/deploy,5593
upgrading-expo,upgrading-expo,D - UI/UX,P2,Guidelines for upgrading Expo SDK versions and fixing dependency issues,"Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,Medium,None obvious,LOW-MEDIUM,shell/package execution,Keep for UI work,5622
urdu-language-support,urdu-language-support,D - UI/UX,P2,"Implement Urdu language support with RTL layout, translations, and AI responses in Urdu. Bonus feature (+100 points) for Phase 5. (project)","Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,High,None obvious,MEDIUM,shell/package execution; credential handling,Keep for UI work,11856
use-dom,use-dom,D - UI/UX,P2,Use Expo DOM components to run web code in a webview on native and as-is on web. Migrate web code to native incrementally.,"Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,High,None obvious,LOW-MEDIUM,broad external access; global/local config,Keep for UI work,9673
using-git-worktrees,using-git-worktrees,E - INFRASTRUCTURE / DEPLOYMENT,P2,Use when starting feature work that needs isolation from current workspace or before executing implementation plans - ensures an isolated workspace exists via native tools or git worktree fallback,"Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,LOW-MEDIUM,shell/package execution; broad external access,Keep on-demand for infra/deploy,6803
using-superpowers,using-superpowers,A - CORE / FREQUENT,P1,"Use when starting any conversation - establishes how to find and use skills, requiring skill invocation before ANY response including clarifying questions","Current Flow architecture, agent, MCP, database, frontend, verification, security, or workflow work.",Frequent,Medium,None obvious,LOW,No notable risky pattern in sampled scan,Keep as core candidate,3051
v0-dev,v0-dev,D - UI/UX,P2,"v0 by Vercel expert guidance. Use when discussing AI code generation, generating UI components from prompts, v0 CLI usage, v0 SDK/API integration, or integrating v0 into development workflows with GitHub and Vercel deployment.","Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Keep for UI work,14525
validation,validation,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Use when Codex is already in the validation phase of a security scan or the user explicitly asks to determine whether one or more candidate security findings are valid. Do not use as the primary trigger for full PR, commit, branch, patch, o","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,LOW-MEDIUM,remote dynamic instructions; credential handling,Keep on-demand for infra/deploy,10799
variant-analysis,variant-analysis,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Hunts for the other instances of a bug already found — the variants of one root cause across a codebase. Use immediately after a vulnerability, logic bug, or bad pattern turns up in a specific file and the question becomes where else it occ","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,LOW,No notable risky pattern in sampled scan,Keep on-demand for infra/deploy,3867
vdr-index-setup,vdr-index-setup,H - IRRELEVANT TO FLOW,P4,>,No clear current Flow use case found.,Unlikely,High,None obvious,MEDIUM,credential handling; broad external access; global/local config,Candidate to disable after approval; review before use with credentials or shell access,18020
vector-forge,vector-forge,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Mutation-driven test vector generation. Finds implementations of a cryptographic algorithm or protocol, runs mutation testing to identify escaped mutants, then generates new test vectors that deliberately exercise the uncovered code paths. ","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,LOW-MEDIUM,shell/package execution; broad external access,Keep on-demand for infra/deploy,19093
vercel-agent,vercel-agent,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Vercel Agent guidance — AI-powered code review, incident investigation, and SDK installation. Automates PR analysis and anomaly debugging. Use when configuring or understanding Vercel's AI development tools.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,MEDIUM,credential handling; broad external access,Keep on-demand for infra/deploy,2341
vercel-api,vercel-api,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Vercel app and REST API expert guidance. Use when the agent needs live access to Vercel projects, deployments, environment variables, domains, logs, or documentation through the connected Vercel app or REST API.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Keep on-demand for infra/deploy,9747
vercel-cli,vercel-cli,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Vercel CLI expert guidance. Use when deploying, managing environment variables, linking projects, viewing logs, managing domains, or interacting with the Vercel platform from the command line.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Keep on-demand for infra/deploy,12787
vercel-cli-with-tokens,vercel-cli-with-tokens,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Deploy and manage projects on Vercel using token-based authentication. Use when working with Vercel CLI using access tokens rather than interactive login — e.g. ""deploy to vercel"", ""set up vercel"", ""add environment variables to vercel"".","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; global/local config,Keep on-demand for infra/deploy,10434
vercel-firewall,vercel-firewall,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Vercel Firewall and security expert guidance. Use when configuring DDoS protection, WAF rules, rate limiting, bot filtering, IP allow/block lists, OWASP rulesets, Attack Challenge Mode, or any security configuration on the Vercel platform.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access,Keep on-demand for infra/deploy,17389
vercel-flags,vercel-flags,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Vercel Flags guidance — feature flags platform with unified dashboard, Flags Explorer, gradual rollouts, A/B testing, and provider adapters. Use when implementing feature flags, experimentation, or staged rollouts.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,remote dynamic instructions; credential handling; broad external access; global/local config,Keep on-demand for infra/deploy,10302
vercel-functions,vercel-functions,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Vercel Functions expert guidance — Serverless Functions, Edge Functions, Fluid Compute, streaming, Cron Jobs, and runtime configuration. Use when configuring, debugging, or optimizing server-side code running on Vercel.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,credential handling; broad external access; global/local config,Keep on-demand for infra/deploy,9225
vercel-optimize,vercel-optimize,D - UI/UX,P2,"Use for Vercel cost and performance optimization on deployed projects, especially Next.js, SvelteKit, Nuxt, and limited Astro apps. Collect Vercel metrics, usage, project config, and code scan results first; investigate only metric-backed c","Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,High,None obvious,MEDIUM,shell/package execution; credential handling,Keep for UI work,17311
vercel-queues,vercel-queues,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Vercel Queues guidance (public beta) — durable event streaming with topics, consumer groups, retries, and delayed delivery. $0.60/1M ops. Powers Workflow DevKit. Use when building async processing, fan-out patterns, or event-driven architec","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,MEDIUM,remote dynamic instructions; credential handling; broad external access,Keep on-demand for infra/deploy,8309
vercel-sandbox,vercel-sandbox,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Vercel Sandbox guidance — ephemeral Firecracker microVMs for running untrusted code safely. Supports AI agents, code generation, and experimentation. Use when executing user-generated or AI-generated code in isolation.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,remote dynamic instructions; credential handling; broad external access; global/local config,Keep on-demand for infra/deploy,9384
